equipment_id,equipment_name,equipment_category,body_focus,home_friendly,description
1,assisted,bodyweight,"chest, lower legs, upper arms, upper legs, waist",yes,"used for home workouts targeting chest, lower legs, upper arms, upper legs, waist"
2,band,strength,"back, chest, lower arms, lower legs, shoulders, upper arms, upper legs, waist",yes,"used for home workouts targeting back, chest, lower arms, lower legs, shoulders, upper arms, upper legs, waist"
3,barbell,strength,"back, chest, lower arms, lower legs, shoulders, upper arms, upper legs, waist",yes,"used for home workouts targeting back, chest, lower arms, lower legs, shoulders, upper arms, upper legs, waist"
4,body weight,bodyweight,"back, cardio, chest, lower arms, lower legs, neck, shoulders, upper arms, upper legs, waist",yes,"used for home workouts targeting back, cardio, chest, lower arms, lower legs, neck, shoulders, upper arms, upper legs, waist"
5,bosu ball,bodyweight,"chest, upper legs",yes,"used for home workouts targeting chest, upper legs"
6,cable,bodyweight,"back, chest, lower arms, lower legs, shoulders, upper arms, upper legs, waist",yes,"used for home workouts targeting back, chest, lower arms, lower legs, shoulders, upper arms, upper legs, waist"
7,dumbbell,strength,"back, cardio, chest, lower arms, lower legs, shoulders, upper arms, upper legs, waist",yes,"used for home workouts targeting back, cardio, chest, lower arms, lower legs, shoulders, upper arms, upper legs, waist"
8,elliptical machine,bodyweight,cardio,yes,used for home workouts targeting cardio
9,ez barbell,strength,"back, shoulders, upper arms",yes,"used for home workouts targeting back, shoulders, upper arms"
10,hammer,bodyweight,waist,yes,used for home workouts targeting waist
11,kettlebell,strength,"back, chest, lower arms, shoulders, upper arms, upper legs, waist",yes,"used for home workouts targeting back, chest, lower arms, shoulders, upper arms, upper legs, waist"
12,leverage machine,bodyweight,"back, cardio, chest, lower arms, lower legs, shoulders, upper arms, upper legs, waist",yes,"used for home workouts targeting back, cardio, chest, lower arms, lower legs, shoulders, upper arms, upper legs, waist"
13,medicine ball,bodyweight,"back, chest, upper arms, waist",yes,"used for home workouts targeting back, chest, upper arms, waist"
14,olympic barbell,strength,upper arms,yes,used for home workouts targeting upper arms
15,resistance band,strength,"back, chest, shoulders, upper arms, upper legs",yes,"used for home workouts targeting back, chest, shoulders, upper arms, upper legs"
16,roller,bodyweight,"back, chest, upper legs, waist",yes,"used for home workouts targeting back, chest, upper legs, waist"
17,rope,cardio,"back, cardio, lower legs, shoulders, upper legs",yes,"used for home workouts targeting back, cardio, lower legs, shoulders, upper legs"
18,skierg machine,bodyweight,upper arms,yes,used for home workouts targeting upper arms
19,sled machine,bodyweight,"lower legs, upper legs",yes,"used for home workouts targeting lower legs, upper legs"
20,smith machine,bodyweight,"back, chest, lower arms, lower legs, shoulders, upper arms, upper legs, waist",yes,"used for home workouts targeting back, chest, lower arms, lower legs, shoulders, upper arms, upper legs, waist"
21,stability ball,bodyweight,"back, chest, upper arms, upper legs, waist",yes,"used for home workouts targeting back, chest, upper arms, upper legs, waist"
22,stationary bike,bodyweight,cardio,yes,used for home workouts targeting cardio
23,stepmill machine,bodyweight,cardio,yes,used for home workouts targeting cardio
24,tire,bodyweight,upper legs,yes,used for home workouts targeting upper legs
25,trap bar,bodyweight,upper legs,yes,used for home workouts targeting upper legs
26,upper body ergometer,bodyweight,chest,yes,used for home workouts targeting chest
27,weighted,bodyweight,"back, chest, lower arms, lower legs, shoulders, upper arms, upper legs, waist",yes,"used for home workouts targeting back, chest, lower arms, lower legs, shoulders, upper arms, upper legs, waist"
28,wheel roller,bodyweight,waist,yes,used for home workouts targeting waist
